up_version_pid,up_service_id,up_programme_name
m0002dh6,bbc_6music,"Lauren Laverne, Cloudbusting and This Week's Watchlist"
m0002dh8,bbc_6music,"Mary Anne Hobbs, Tom Ravenscroft sits in"
m0002dhb,bbc_6music,"Shaun Keaveny, Episode 26 - Mercury Rev are today's Album of the Day"
m0002dhd,bbc_6music,"Steve Lamacq, European festivals 2019"
m0002dhg,bbc_6music,"Marc Riley, Stealing Sheep Live In Session"
m0002dhj,bbc_6music,"Gideon Coe, The Beat in concert"
m0002dhl,bbc_6music,"6 Music Recommends, with Lauren Laverne"
m0002dhn,bbc_6music,"6 Music Live Hour, Whitesnake, Felt and Owen Pallet"
m0002dhq,bbc_6music,"6 Music's Trunk of Funk with Craig Charles, Blue Note Records"
m0002dhs,bbc_6music,"6 Music's Desert Island Disco with Lauren Laverne, Nas & Damian Marley, Chronixx, Khruangbin, Adele and DJ Fresh"
m0002dhv,bbc_6music,"6 Music's People's Playlist with Lauren Laverne, Myths and Legends"
m0002dhx,bbc_6music,"Chris Hawkins, Plink + Link"
m0002dmt,bbc_6music,"Lauren Laverne, The Maths of Life and 6 Music Salutes"
m0002dmw,bbc_6music,"Mary Anne Hobbs, Tom Ravenscroft sits in"
